age_months,weight_lb,height_ft
208.5,144.46388,5.764110892
209.5,144.95734,5.766574803
210.5,145.436478,5.768897638
211.5,145.901734,5.771089239
212.5,146.353614,5.773156168
213.5,146.79258,5.775111549
214.5,147.219248,5.776955381
215.5,147.634124,5.778700787
216.5,148.037846,5.780347769
217.5,148.430986,5.781909449
218.5,148.814182,5.783385827
219.5,149.188094,5.784783465
220.5,149.553294,5.786108924
221.5,149.910442,5.787365486
222.5,150.26011,5.78855643
223.5,150.60287,5.78968832
224.5,150.939184,5.790761155
225.5,151.269558,5.791781496
226.5,151.594366,5.792749344
227.5,151.913872,5.79367126
228.5,152.228274,5.794550525
229.5,152.537594,5.795383858
230.5,152.841722,5.796181102
231.5,153.140372,5.796938976
232.5,153.433016,5.797660761
233.5,153.718928,5.798349738
234.5,153.997118,5.799009186
235.5,154.266288,5.799639108
236.5,154.524854,5.800239501
237.5,154.77088,5.800813648
238.5,155.002012,5.801361549
239.5,155.215544,5.801886483
240,155.314742,5.802139108
